Name Currency,Price,+/-,%,market cap,circulating supply,Volume,Last Updated
Wrapped eETH,"3,630.8598",-72.43,-1.96%,5.35 B,"1,474,778",31.29 M,09:11:00 AM
Dai,0.9999,0.00,-0.01%,5.35 B,"5,347,888,596",333.79 M,09:10:00 AM
Pepe,0.0000,0.00,-6.30%,5.19 B,"420,689,899,999,995",1.09 B,09:10:00 AM
UNUS SED LEO,5.6031,-0.32,-5.39%,5.19 B,"926,220,467",3.90 M,09:10:00 AM
Internet Computer,9.9162,-0.60,-5.67%,4.61 B,"464,944,363",103.55 M,09:10:00 AM
Kaspa,0.1686,0.00,-1.01%,4.03 B,"23,912,298,152",110.00 M,09:10:00 AM
Bitcoin BEP2,"67,885.2655",-385.91,-0.57%,3.88 B,"57,195",30.66 M,09:10:00 AM
Ethereum Classic,25.5308,-0.58,-2.23%,3.77 B,"147,503,406",179.70 M,09:10:00 AM
Renzo Restaked ETH,"3,486.9458",-69.12,-1.94%,3.68 B,"1,055,908",39.68 M,09:10:00 AM
Aptos,7.9676,-0.27,-3.25%,3.59 B,"450,120,408",168.25 M,09:10:00 AM
Ethena USDe,1.0009,0.00,-0.02%,3.40 B,"3,394,731,284",197.56 M,09:10:00 AM
Render Token,8.5874,-0.67,-7.26%,3.34 B,"388,646,672",290.07 M,09:10:00 AM
Stacks,2.2667,-0.12,-4.98%,3.33 B,"1,466,940,981",269.75 M,09:10:00 AM
Wrapped Beacon ETH,"3,631.9450",-73.48,-1.98%,3.26 B,"897,162",3.17 M,09:11:00 AM
Monero,174.8029,-6.33,-3.49%,3.22 B,"18,446,744",92.60 M,09:11:00 AM
Hedera,0.0898,0.00,-2.14%,3.21 B,"35,751,723,073",71.69 M,09:10:00 AM
Filecoin,5.4075,-0.25,-4.36%,3.05 B,"563,150,703",214.68 M,09:11:00 AM
Cosmos,7.5928,-0.18,-2.35%,2.97 B,"390,930,671",136.22 M,09:10:00 AM
Mantle,0.8932,0.00,-0.48%,2.92 B,"3,264,441,708",177.71 M,09:11:00 AM
Stellar,0.0990,0.00,-1.05%,2.88 B,"29,075,051,649",60.58 M,09:11:00 AM
Injective Protocol,30.2461,-1.04,-3.33%,2.82 B,"93,400,000",308.38 M,09:10:00 AM
OKB,46.8800,0.65,1.40%,2.81 B,"60,000,000",9.71 M,09:10:00 AM
Arbitrum,0.9401,-0.03,-3.30%,2.72 B,"2,896,440,329",304.28 M,09:10:00 AM
Immutable X,1.8352,-0.08,-4.37%,2.72 B,"1,482,345,419",75.42 M,09:11:00 AM
First Digital USD,0.9986,0.00,-0.06%,2.71 B,"2,716,823,673",7.17 B,09:10:00 AM
Crypto.com Coin,0.1013,0.00,-2.72%,2.69 B,"26,571,560,696",11.66 M,09:10:00 AM
dogwifhat,2.4794,-0.18,-6.88%,2.48 B,"998,905,906",467.51 M,09:11:00 AM
Sui,0.9920,-0.03,-2.51%,2.41 B,"2,426,143,881",215.69 M,09:11:00 AM
The Graph,0.2510,-0.01,-4.29%,2.39 B,"9,509,886,563",115.52 M,09:10:00 AM
Arweave,34.4073,-0.42,-1.21%,2.26 B,"65,652,466",100.94 M,09:10:00 AM
Optimism,2.0531,-0.09,-4.29%,2.23 B,"1,086,889,963",259.51 M,09:10:00 AM
Bittensor,321.9292,-31.97,-9.03%,2.23 B,"6,927,598",55.78 M,09:11:00 AM
VeChain,0.0303,0.00,-3.25%,2.20 B,"72,714,516,834",41.57 M,09:10:00 AM
Maker,"2,267.1096",-36.56,-1.59%,2.10 B,"927,898",59.63 M,09:10:00 AM
Floki Inu,0.0002,0.00,-1.47%,2.06 B,"9,560,302,923,123",576.77 M,09:11:00 AM
Rocket Pool ETH,"3,883.6725",-116.86,-2.92%,1.98 B,"508,929",4.44 M,09:10:00 AM
THETA,1.8202,-0.10,-5.19%,1.82 B,"1,000,000,000",32.62 M,09:11:00 AM
Fantom,0.6484,-0.03,-4.17%,1.82 B,"2,803,634,836",150.48 M,09:10:00 AM
Bonk,0.0000,0.00,-8.99%,1.78 B,"67,911,134,783,681",333.69 M,09:10:00 AM
Ondo,1.2803,-0.06,-4.65%,1.78 B,"1,389,759,838",322.38 M,09:10:00 AM
JasmyCoin,0.0357,0.00,-5.81%,1.76 B,"49,299,999,677",173.08 M,09:11:00 AM
Notcoin,0.0171,0.00,-6.60%,1.75 B,"102,701,033,769",1.11 B,09:11:00 AM
Lido DAO Token,1.8978,-0.10,-5.13%,1.69 B,"893,004,219",137.73 M,09:10:00 AM
THORChain,4.9210,-0.17,-3.38%,1.65 B,"335,369,190",371.27 M,09:11:00 AM
Bitget Token,1.1783,0.00,-0.10%,1.65 B,"1,400,000,000",41.96 M,09:10:00 AM
Mantle Staked Ether,"3,619.5352",-69.70,-1.89%,1.64 B,"454,193",4.61 M,09:11:00 AM
Jito Staked SOL,167.1675,-5.59,-3.24%,1.63 B,"9,731,400",43.60 M,09:11:00 AM
Ethena Staked USDe,1.0786,0.00,-0.01%,1.60 B,"1,480,020,245",30.45 M,09:10:00 AM
Celestia,8.0825,-0.62,-7.08%,1.54 B,"190,358,596",115.66 M,09:11:00 AM
Zeebu,4.6058,-0.01,-0.13%,1.52 B,"329,707,787",35.78 M,09:10:00 AM
Brett,0.1479,-0.01,-6.53%,1.47 B,"9,910,236,395",79.23 M,09:10:00 AM
Core,1.5553,-0.07,-4.47%,1.39 B,"893,037,046",68.91 M,09:10:00 AM
Fetch.ai,1.6375,-0.07,-4.24%,1.39 B,"848,193,896",157.33 M,09:10:00 AM
Pyth Network,0.3829,-0.02,-4.28%,1.39 B,"3,624,988,955",104.98 M,09:10:00 AM
Sei,0.4589,-0.02,-4.47%,1.34 B,"2,925,000,000",117.43 M,09:10:00 AM
Starknet,1.0097,-0.06,-5.68%,1.31 B,"1,300,311,845",85.61 M,09:11:00 AM
Algorand,0.1596,-0.01,-3.75%,1.31 B,"8,181,522,121",53.48 M,09:10:00 AM
Aave,85.6632,-4.27,-4.75%,1.27 B,"14,848,035",113.81 M,09:10:00 AM
Jupiter,0.9284,-0.04,-4.17%,1.25 B,"1,350,000,000",121.00 M,09:10:00 AM
Venus BNB,14.7761,-0.30,-2.00%,1.25 B,"84,327,095",823.95 M,09:10:00 AM
Flare,0.0278,0.00,-1.62%,1.19 B,"42,674,231,577",10.80 M,09:10:00 AM
Flow,0.7572,-0.02,-2.78%,1.14 B,"1,511,780,104",39.19 M,09:11:00 AM
Gala,0.0344,0.00,-3.98%,1.09 B,"31,670,827,223",121.86 M,09:10:00 AM
Cheelee,20.1961,-0.33,-1.62%,1.09 B,"53,837,996",6.66 M,09:11:00 AM
Beam,0.0218,0.00,-2.28%,1.08 B,"49,466,004,168",20.04 M,09:10:00 AM
Ordinals,50.9169,-1.42,-2.72%,1.07 B,"21,000,000",277.54 M,09:11:00 AM
Ethena,0.7004,-0.03,-4.08%,1.06 B,"1,520,312,500",141.19 M,09:10:00 AM
Kelp DAO Restaked ETH,"3,534.6312",-47.24,-1.32%,1.05 B,"296,504","219,674.03",09:10:00 AM
Axie Infinity,7.0290,-0.15,-2.09%,1.02 B,"145,806,334",47.48 M,09:10:00 AM
Chiliz,0.1151,-0.01,-4.21%,1.02 B,"8,888,289,967",81.47 M,09:10:00 AM
Bitcoin SV,51.8065,-1.04,-1.96%,1.02 B,"19,714,759",42.68 M,09:10:00 AM
Quant,84.0660,-3.49,-3.99%,1.01 B,"12,072,738",16.40 M,09:10:00 AM
KuCoin Shares,10.5164,-0.13,-1.18%,1.01 B,"95,642,961",1.39 M,09:11:00 AM
BitTorrent (new),0.0000,0.00,-2.38%,992.50 M,"968,246,428,571,000",50.94 M,09:10:00 AM
